timestamp_ms,frame,marker_id,cx,cy,depth_m,c0x,c0y,c1x,c1y,c2x,c2y,c3x,c3y
10836.406,54,93,476.250,275.000,0.000,503.000,270.000,474.000,287.000,450.000,279.000,478.000,264.000
11036.910,55,95,498.250,302.500,0.000,480.000,293.000,509.000,277.000,516.000,311.000,488.000,329.000
11036.910,55,93,476.500,273.500,0.000,503.000,268.000,474.000,285.000,451.000,278.000,478.000,263.000
11237.419,56,95,499.000,301.750,0.000,481.000,292.000,510.000,276.000,516.000,311.000,489.000,328.000
11436.982,57,95,499.000,302.250,0.000,481.000,293.000,510.000,277.000,516.000,311.000,489.000,328.000
11436.982,57,93,476.750,273.500,0.000,503.000,268.000,475.000,285.000,451.000,278.000,478.000,263.000
11637.378,58,94,454.000,312.250,0.000,470.000,335.000,447.000,323.000,439.000,291.000,460.000,300.000
11637.378,58,95,498.000,302.750,0.000,480.000,293.000,509.000,277.000,515.000,312.000,488.000,329.000
11637.378,58,93,476.750,273.500,0.000,502.000,268.000,475.000,285.000,451.000,278.000,479.000,263.000
11837.088,59,94,452.750,311.750,0.000,468.000,334.000,446.000,323.000,438.000,290.000,459.000,300.000
11837.088,59,95,496.750,303.000,0.000,479.000,293.000,508.000,278.000,514.000,312.000,486.000,329.000
11837.088,59,93,476.000,273.000,0.000,502.000,268.000,474.000,284.000,450.000,277.000,478.000,263.000
12037.881,60,94,452.750,311.750,0.000,468.000,334.000,446.000,323.000,438.000,290.000,459.000,300.000
12037.881,60,95,496.750,303.000,0.000,479.000,293.000,508.000,278.000,514.000,312.000,486.000,329.000
12037.881,60,93,476.000,273.250,0.000,502.000,269.000,474.000,284.000,450.000,277.000,478.000,263.000
12237.840,61,95,496.500,303.000,0.000,478.000,293.000,508.000,278.000,514.000,312.000,486.000,329.000
12237.840,61,93,475.500,273.500,0.000,502.000,269.000,472.000,285.000,450.000,277.000,478.000,263.000
12436.128,62,94,452.500,311.750,0.000,468.000,335.000,446.000,323.000,438.000,290.000,458.000,299.000
12436.128,62,95,496.500,303.000,0.000,478.000,293.000,508.000,278.000,514.000,312.000,486.000,329.000
12436.128,62,93,475.500,273.500,0.000,502.000,269.000,472.000,285.000,450.000,277.000,478.000,263.000
12637.561,63,94,452.750,312.500,0.000,468.000,335.000,446.000,323.000,438.000,291.000,459.000,301.000
12637.561,63,95,496.500,303.500,0.000,478.000,294.000,508.000,278.000,514.000,313.000,486.000,329.000
12637.561,63,93,475.750,273.500,0.000,501.000,269.000,473.000,285.000,450.000,277.000,479.000,263.000
12837.798,64,94,452.750,312.000,0.000,468.000,335.000,446.000,323.000,438.000,290.000,459.000,300.000
12837.798,64,95,496.500,303.250,0.000,478.000,293.000,508.000,278.000,514.000,313.000,486.000,329.000
12837.798,64,93,475.500,273.500,0.000,502.000,269.000,472.000,285.000,450.000,277.000,478.000,263.000
13036.497,65,94,452.750,312.000,0.000,468.000,334.000,446.000,323.000,438.000,290.000,459.000,301.000
13036.497,65,95,496.500,303.250,0.000,478.000,293.000,508.000,278.000,514.000,313.000,486.000,329.000
13036.497,65,93,475.500,273.500,0.000,502.000,269.000,472.000,285.000,450.000,277.000,478.000,263.000
13238.438,66,94,452.500,311.500,0.000,468.000,334.000,446.000,323.000,438.000,290.000,458.000,299.000
13238.438,66,95,496.500,303.250,0.000,478.000,293.000,508.000,278.000,514.000,313.000,486.000,329.000
13238.438,66,93,475.500,273.500,0.000,502.000,269.000,472.000,285.000,450.000,277.000,478.000,263.000
13438.167,67,95,496.500,304.000,0.000,478.000,294.000,508.000,279.000,514.000,313.000,486.000,330.000
13637.045,68,94,452.500,311.750,0.000,468.000,335.000,446.000,323.000,438.000,290.000,458.000,299.000
13637.045,68,95,496.750,303.250,0.000,479.000,293.000,508.000,278.000,514.000,313.000,486.000,329.000
13637.045,68,93,475.500,273.500,0.000,502.000,269.000,472.000,285.000,450.000,277.000,478.000,263.000
13837.218,69,94,452.500,312.250,0.000,468.000,335.000,446.000,323.000,438.000,291.000,458.000,300.000
13837.218,69,95,496.500,303.750,0.000,478.000,294.000,508.000,278.000,514.000,313.000,486.000,330.000
13837.218,69,93,475.750,273.750,0.000,501.000,269.000,473.000,285.000,451.000,278.000,478.000,263.000
14037.668,70,95,497.000,304.500,0.000,479.000,294.000,509.000,280.000,514.000,314.000,486.000,330.000
14037.668,70,93,476.000,274.500,0.000,502.000,270.000,473.000,286.000,450.000,278.000,479.000,264.000
14238.974,71,95,506.500,320.500,0.000,489.000,313.000,518.000,294.000,523.000,328.000,496.000,347.000
